,Unnamed: 0,event_name,promoter,director,city,state,Start_Date,End_Date
14,14,North End Classic,White Mountain Road Club,John Garren,,,03/12/2005,03/13/2005
34,34,Sonoita Patagonia Time Trial,Saguaro Velo,Donald Melhado,,,07/03/2005,
95,95,Pilarcitos Stage Race,Pilarcitos Cyclesports,Thomas Simpson,,,04/02/2005,04/03/2005
121,121,Mount Hamilton Classic,San Jose Bicycle Club,,,,05/29/2005,
224,224,Dade Battle of Brilliance,Atlantic Shores Velo,Tim Molyneaux,,,02/26/2005,02/27/2005
283,283,Wood River Cup Race Series,Sun Valley Road and Dirt Camps. L.L.C.,William (Bill) Olson,,,06/01/2005,06/29/2005
526,526,Turtle Pond Circuit Race,Press Forward Cycling,Brad Sheehan,,,05/01/2005,
619,619,French Broad Cycling Classic,Asheville Bicycle Racing Club,Janet Trubey,,,07/22/2005,07/24/2005
625,625,Hobby Park 2005,Paul's Racing/Paul's Cycling & Fitness Inc.,Dale Harrell,,,09/18/2005,
693,693,Nicole Reinhart Memorial Tour de FCCC,The Velo Shop/LWA Racing,David Gulick,,,07/16/2005,07/17/2005
751,751,Juris/Bank of America TN State Championship Omnium,TriStar Cycling Team,Brian Cote,,,09/17/2005,09/18/2005
840,840,"Alpine Valley Open, WORS #2","WORS Racing, LLC",Don Edberg,Alpine Valley Open,WORS #2,05/22/2005,
842,842,"Rome Around, WORS #3","WORS Racing, LLC",Don Edberg,Rome Around,WORS #3,06/05/2005,
845,845,"WORS CUP, WORS #6","WORS Racing, LLC",Don Edberg,WORS CUP,WORS #6,07/16/2005,07/17/2005
846,846,"Phillips Dirtfighter Classic, WORS #7","WORS Racing, LLC",Don Edberg,Phillips Dirtfighter Classic,WORS #7,07/24/2005,
847,847,"Calumet Sun Run, WORS #8","WORS Racing, LLC",Don Edberg,Calumet Sun Run,WORS #8,08/14/2005,
848,848,"Alterra Coffee Bean Classic, WORS #9","WORS Racing, LLC",Don Edberg,Alterra Coffee Bean Classic,WORS #9,08/28/2005,
849,849,"Kewaunee XC Adventure, WORS #10","WORS Racing, LLC",Don Edberg,Kewaunee XC Adventure,WORS #10,09/11/2005,
850,850,"Sunburst Showdown, WORS #11","WORS Racing, LLC",Don Edberg,Sunburst Showdown,WORS #11,09/25/2005,
878,878,La Vuelta De Bisbee,Thunder Mountain Cycling,Albert Hopper  Jr.,,,04/28/2006,04/30/2006
974,974,Five Wire Inc Mt Hamilton Classic,San Jose Bicycle Club,Franklin Smoot,,,05/28/2006,
1115,1115,Georgia Games,North Atlanta Riding Club,Alan Gabrielli,,,07/08/2006,07/09/2006
1168,1168,Proctor Cycling Classic,Peoria Bicycle Club,Gregory Springborn,,,06/30/2006,07/02/2006
1259,1259,Greenbrier Challenge,Potomac Velo Club,James Carlson,,,04/30/2006,
1284,1284,47th Annual Fitchburg Longsjo Classic,Fitchburg Cycling Club,Norman Gariepy,,,06/29/2006,07/02/2006
1311,1311,Nature Valley Grand Prix,Minnesota Bicycle Festivals,David LaPorte,,,06/14/2006,06/18/2006
1316,1316,Giro D' Rankin,MCDF,Gary Gray,,,06/10/2006,06/11/2006
1373,1373,Turtle Pond Circuit Race,Press Forward Cycling,Brad Sheehan,,,04/22/2006,
1396,1396,US Bicycling Hall of Fame Super Saturday,US Bicycling Hall of Fame,Vincent Menci,,,05/27/2006,
1451,1451,Tour de Parc,Kissena Cycling Club,Charles Issendorf,,,05/21/2006,
1457,1457,Blackfly Challenge,Adirondack Mountain Bike Association,Charles (Chip) Kiefer,,,06/10/2006,
1472,1472,2006 Empire State Games Cycling Events,Rochester Road Racing,Gary Toth,,,07/27/2006,07/30/2006
1561,1561,PICC Spring Training Series,Presque Isle Cycling Club,Dave Dennis,,,04/08/2006,05/14/2006
1602,1602,Nicole Reinhart Memorial Tour de FCCC,The Velo Shop/LWA Racing,David Gulick,,,07/22/2006,07/23/2006
1682,1682,Fayetteville Stage Race,Southwest Cycling Club Racing,James McCowen,,,03/18/2006,03/19/2006
1729,1729,LOTOJA Classic,Epic Events Inc,Brent Chambers,,,09/09/2006,
2072,2072,Pleasant Valley Time Trial Training Series,JAT Racing LLC,James Thompson,,,05/08/2007,08/28/2007
2152,2152,Cherokee RR/TT Sandy Springs Classic,"North Georgia Cycling Association, Inc.",Robert Heath,,,05/26/2007,05/27/2007
2158,2158,Georgia State Games Cycling Road Race,Georgia Sports Foundation,Angie Taylor,,,07/07/2007,07/08/2007
2210,2210,Proctor Cycling Classic,Peoria Bicycle Club,Stephen Daggs,,,06/29/2007,07/01/2007
2335,2335,Tour of Walkersville,Annapolis Bicycle Racing Team,Douglas Shapter,,,03/31/2007,
2337,2337,Greenbrier Challenge,Potomac Velo Club,James Carlson,,,04/29/2007,
2361,2361,Boston Beanpot Cycling Classic,Massachusetts Institute of Technology,Caitlin Thompson,,,03/31/2007,04/01/2007
2370,2370,48th Annual Fitchburg Longsjo Classic,Fitchburg Cycling Club,Norman Gariepy,,,06/28/2007,07/01/2007
2430,2430,Mississippi Gran Prix,Palmer Cycling,Shane Kelly,,,04/20/2007,04/22/2007
2432,2432,Giro D'Rankin,MCDF,Gary Gray,,,05/12/2007,05/13/2007
2463,2463,Mercy Health Plans Loop Bike Race,Michelob Ultra - Big Shark Racing,Tim Ranek,,,09/03/2007,
2498,2498,Bozeman/Big Sky Cyclocross Weekend,Gallatin Valley Bicycle Club,Brad Morgan,,,10/13/2007,10/14/2007
2521,2521,Tour de Nez,Reno Wheelmen,Tim Healion,,,06/15/2007,06/16/2007
2527,2527,Turtle Pond Circuit Race,Press Forward Cycling,Brad Sheehan,,,04/21/2007,
2669,2669,Dixie Classic Criterium Series,Hearts Racing Club,Ken Putnam,,,03/27/2007,08/21/2007
2681,2681,Dragon's Challenge & NC Criterium Championship,Cross Creek Cycling Club-C4,Robert Havens,,,05/26/2007,05/28/2007
2687,2687,French Broad Cycling Classic -2007,Asheville Bicycle Racing Club,Richard Dunn,,,07/20/2007,07/22/2007
2778,2778,PICC Spring Training Series-Fairview,Presque Isle Cycling Club,Ken Bastine,,,04/07/2007,05/14/2007
2805,2805,"MABRA Track Title and DE , MD/DC, &  VA",Prince William Elite Racing (PoWER),Max Rogozinski,MABRA Track Title and DE ,&  VA,06/10/2007,
2827,2827,Nicole Reinhart Memorial Tour de FCCC,The Velo Shop/LWA Racing,David Gulick,,,07/21/2007,07/22/2007
2900,2900,Settlers Life Omnium,Tri Cities Road Club,Dwayne Letterman,,,06/09/2007,06/10/2007
2998,2998,LOTOJA Classic,Epic Events Inc,Brent Chambers,,,09/08/2007,
3003,3003,2007 USA Cycling Mountain Bike Nationals,Mount Snow Ltd,Gregory Fisher,,,07/17/2007,07/22/2007
3298,3298,2008 USA Cycling Juniors U23 Elite Nationals,Team Velosport-CA,John (Jet) Tanner,,,08/06/2008,08/10/2008
3395,3395,Pleasant Valley Time Trial Training Series,JAT Racing LLC,James Thompson,,,05/13/2008,08/26/2008
3408,3408,Three Village Tour,Mohegan Sun Cycling,Michael Smith,,,09/20/2008,
3486,3486,Georgia State Games Cycling Road Race,North Atlanta Riding Club,Angie Taylor,,,07/12/2008,07/13/2008
3504,3504,Sage Brush Scramble,Broken Spoke Cycling,Hal Miller,,,05/10/2008,
3533,3533,O'Fallon Grand Prix,Metro East Cycling,Steven Schmidt,,,05/31/2008,
3701,3701,Tour of Walkersville,Annapolis Bicycle Racing Team,Douglas Shapter,,,04/05/2008,
3703,3703,Greenbrier Challenge,Potomac Velo Club,James Carlson,,,04/27/2008,
3738,3738,49th Annual Fitchburg Longsjo Classic,Fitchburg Cycling Club,Norman Gariepy,,,07/03/2008,07/06/2008
3785,3785,Michigan State University XC Race,Michigan State University,Julian Simioni,,,09/13/2008,
3832,3832,"Washington, MO Criterium",Velo Force,Mark Rosen,Washington,MO Criterium,05/04/2008,
3906,3906,Omaha Cycling Weekend,Midwest Cycling Club Racing,Kent McNeill,,,07/12/2008,07/13/2008
3914,3914,High Sierra Hillclimb Time Trial Series,Alta Alpina Cycling Club,Shawn Pearson,,,05/18/2008,09/07/2008
3917,3917,Tour de Nez,Reno Wheelmen,Tim Healion,,,06/18/2008,06/21/2008
3938,3938,UNH Kingman Cross-Country Classic/ Double Downhill,University of New Hampshire,Jeffrey Lukach,,,09/20/2008,09/21/2008
3954,3954,US Bicycling Hall of Fame Super Saturday,US Bicycling Hall of Fame,Vincent Menci,,,05/24/2008,
3965,3965,Giro di Jersey,Van Dessel Factory Team,Thomas Licker,,,06/20/2008,06/22/2008
3993,3993,Hillsboro Classic (Omnium),ZiaVelo Cycling,David Rutledge,,,03/08/2008,03/09/2008
4099,4099,Dixie Classic Criterium Series- Part 1,Hearts Racing Club,Matthew Canter,,,03/25/2008,05/06/2008
4106,4106,2008 ACC Cycling Championship,Wake Forest University,John Shilt,,,04/19/2008,04/20/2008
4107,4107,Winston Salem Downtown Criterium,Wake Forest University,John Shilt,,,04/20/2008,
4127,4127,French Broad Cycling Classic -2008,Asheville Bicycle Racing Club,Will Sagar,,,07/18/2008,07/20/2008
4140,4140,Southern Classic Finals @Hobby Park,Paul's Racing/Paul's Cycling & Fitness Inc.,Dale Harrell,,,08/17/2008,
4174,4174,Bull Run Farms Road Race,Ghisallo Cycling Team Inc.,James Dennedy,,,05/04/2008,
4202,4202,Flint Ridge Circuit Race / Cowskin Road Race,Tulsa Wheelmen,John Allen,,,04/12/2008,04/13/2008
4233,4233,Phoenixville Fury & Philly Phlyer 2008 ECCC/ACCC W,Drexel University,Joseph Kopena,,,03/08/2008,03/09/2008
4251,4251,Turkey Hill Country Classic,Red Rose Races.Com,William Laudien,,,05/03/2008,
